,mOTU
COMPLETE-SET-AND-BULK_mOTU_452,5
COMPLETE-SET-AND-BULK_mOTU_254,5
COMPLETE-SET-AND-BULK_mOTU_623,5
COMPLETE-SET-AND-BULK_mOTU_632,5
COMPLETE-SET-AND-BULK_mOTU_849,5
COMPLETE-SET-AND-BULK_mOTU_376,5
COMPLETE-SET-AND-BULK_mOTU_050,5
COMPLETE-SET-AND-BULK_mOTU_340,5
COMPLETE-SET-AND-BULK_mOTU_318,5
COMPLETE-SET-AND-BULK_mOTU_449,5
COMPLETE-SET-AND-BULK_mOTU_274,5
COMPLETE-SET-AND-BULK_mOTU_329,5
COMPLETE-SET-AND-BULK_mOTU_480,5
COMPLETE-SET-AND-BULK_mOTU_819,5
COMPLETE-SET-AND-BULK_mOTU_469,5
COMPLETE-SET-AND-BULK_mOTU_042,5
COMPLETE-SET-AND-BULK_mOTU_296,5
COMPLETE-SET-AND-BULK_mOTU_553,5
COMPLETE-SET-AND-BULK_mOTU_899,5
COMPLETE-SET-AND-BULK_mOTU_548,5
COMPLETE-SET-AND-BULK_mOTU_089,5
COMPLETE-SET-AND-BULK_mOTU_373,5
COMPLETE-SET-AND-BULK_mOTU_447,5
COMPLETE-SET-AND-BULK_mOTU_430,5
COMPLETE-SET-AND-BULK_mOTU_499,5
COMPLETE-SET-AND-BULK_mOTU_588,5
COMPLETE-SET-AND-BULK_mOTU_902,5
COMPLETE-SET-AND-BULK_mOTU_414,5
COMPLETE-SET-AND-BULK_mOTU_127,5
COMPLETE-SET-AND-BULK_mOTU_612,5
COMPLETE-SET-AND-BULK_mOTU_269,5
COMPLETE-SET-AND-BULK_mOTU_613,5
COMPLETE-SET-AND-BULK_mOTU_891,5
COMPLETE-SET-AND-BULK_mOTU_326,5
COMPLETE-SET-AND-BULK_mOTU_566,5
COMPLETE-SET-AND-BULK_mOTU_320,5
COMPLETE-SET-AND-BULK_mOTU_033,5
COMPLETE-SET-AND-BULK_mOTU_315,4
COMPLETE-SET-AND-BULK_mOTU_733,4
COMPLETE-SET-AND-BULK_mOTU_483,4
COMPLETE-SET-AND-BULK_mOTU_290,4
COMPLETE-SET-AND-BULK_mOTU_213,4
COMPLETE-SET-AND-BULK_mOTU_392,4
COMPLETE-SET-AND-BULK_mOTU_006,4
COMPLETE-SET-AND-BULK_mOTU_555,4
COMPLETE-SET-AND-BULK_mOTU_635,4
COMPLETE-SET-AND-BULK_mOTU_270,4
COMPLETE-SET-AND-BULK_mOTU_251,4
COMPLETE-SET-AND-BULK_mOTU_816,4
COMPLETE-SET-AND-BULK_mOTU_597,4
COMPLETE-SET-AND-BULK_mOTU_836,4
COMPLETE-SET-AND-BULK_mOTU_521,4
COMPLETE-SET-AND-BULK_mOTU_149,4
COMPLETE-SET-AND-BULK_mOTU_432,4
COMPLETE-SET-AND-BULK_mOTU_230,4
COMPLETE-SET-AND-BULK_mOTU_047,4
COMPLETE-SET-AND-BULK_mOTU_058,4
COMPLETE-SET-AND-BULK_mOTU_775,4
COMPLETE-SET-AND-BULK_mOTU_611,4
COMPLETE-SET-AND-BULK_mOTU_675,4
COMPLETE-SET-AND-BULK_mOTU_535,4
COMPLETE-SET-AND-BULK_mOTU_509,4
COMPLETE-SET-AND-BULK_mOTU_291,4
COMPLETE-SET-AND-BULK_mOTU_174,4
COMPLETE-SET-AND-BULK_mOTU_869,4
COMPLETE-SET-AND-BULK_mOTU_132,4
